postcode,state,long,lat
2490,NSW,153.472644,-28.271718
2500,NSW,150.874294,-34.423171
2502,NSW,150.873081,-34.494723
2505,NSW,150.943899,-34.466406
2506,NSW,150.840792,-34.48494
2508,NSW,150.969679,-34.230944
2515,NSW,150.9299,-34.300293
2516,NSW,150.904835,-34.332109
2517,NSW,150.891169,-34.349362
2518,NSW,150.886721,-34.373654
2519,NSW,150.709623,-34.35558
2520,NSW,151.139594,-33.937789
2522,NSW,150.877805,-34.405103
2525,NSW,150.818904,-34.437229
2526,NSW,150.77681,-34.380765
2527,NSW,150.754592,-34.583539
2528,NSW,150.855135,-34.548722
2529,NSW,150.84584,-34.592433
2530,NSW,150.766132,-34.505411
2533,NSW,150.756883,-34.645377
2534,NSW,150.7510656,-34.74500177
2535,NSW,150.678303,-34.762116
2536,NSW,150.125945,-35.671272
2537,NSW,149.912199,-35.939649
2538,NSW,150.320507,-35.366161
2539,NSW,150.393202,-35.522387
2541,NSW,150.450994,-34.990592
2545,NSW,149.792292,-36.127663
2546,NSW,150.225372,-36.25486
2548,NSW,149.894825,-36.860723
2549,NSW,149.851694,-36.953196
2550,NSW,149.699222,-36.737758
2551,NSW,149.792364,-37.267687
2555,NSW,150.741351,-33.883376
2556,NSW,150.725207,-33.945707
2557,NSW,150.774858,-33.993545
2558,NSW,150.799483,-34.031602
2559,NSW,150.793614,-34.051274
2560,NSW,150.768408,-34.194216
2563,NSW,150.749847,-34.102735
2564,NSW,150.894916,-33.998362
2565,NSW,150.8618744,-33.97723383
2566,NSW,150.842258,-34.027283
2567,NSW,150.756493,-34.055155
2568,NSW,150.718007,-34.147379
2569,NSW,150.708875,-34.196004
2570,NSW,150.525292,-34.042913
2571,NSW,150.5152938,-34.30254366
2572,NSW,150.559186,-34.193052
2573,NSW,150.584634,-34.218439
2574,NSW,150.6685734,-34.4254438
2575,NSW,150.342214,-34.347195
2576,NSW,150.503502,-34.525612
2577,NSW,150.410978,-34.595027
2578,NSW,150.293226,-34.715579
2579,NSW,150.13033,-34.711848
2580,NSW,149.729215,-34.726283
2581,NSW,149.286631,-34.764484
2582,NSW,148.9655031,-34.75833012
2583,NSW,149.254163,-34.196526
2584,NSW,148.555243,-34.711018
2585,NSW,148.498501,-34.572329
2586,NSW,148.797264,-34.378631
2587,NSW,148.360971,-34.505797
2588,NSW,148.255601,-34.599488
2590,NSW,147.896911,-34.714515
2594,NSW,148.10732,-34.231083
2619,NSW,149.194535,-35.378159
2621,NSW,149.484038,-35.4698
